"grdc_no","wmo_reg","sub_reg","river","station","country","latitude","longitude","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr"
"1491600","1","91","SEBAKWE","DUTCHMAN'S POOL DAM D/S G/W","ZW","-18.85","29.82","4170","-999","","","","","1954","1980","27","0","1954","1980","27","10.357","0.326618352","78.32574388"
"1491601","1","91","SEBAKWE","LOWER ZIVAGWE DAM (63341029)","ZW","-18.85","29.816667","4404","-999","1977","1990","14","4.380791912","","","","","1977","1990","14","9.674","0.305079264","69.27322071"
"1491610","1","91","MUNYATI","DYKE G/W (63341018)","ZW","-18.816667","30.316667","2662","-999","1962","1990","29","0.938691698","1960","1980","21","0.416666667","1960","1990","31","6.718","0.211858848","79.5863441"
"1491620","1","91","NGEZI","NGEZI DAM U/S G/W (63341006)","ZW","-18.666667","30.516667","1054","-999","1948","1990","43","2.431551499","","","","","1948","1990","43","1.787","0.056354832","53.46758254"
"1491650","1","91","ANGWA","CHENGU FARM","ZW","-17.17","29.97","656","-999","","","","","1976","1980","5","0","1976","1980","5","6.344","0.200064384","304.9761951"
"1491670","1","91","HUNYANI","U/S MAQUADZI CONFLUENCE","ZW","-17.1","30.32","1730","-999","","","","","1971","1980","10","0","1971","1980","10","31.175","0.9831348","568.2860116"
"1491680","1","91","MUKWADZI","U/S HUNYANI CONFLUENCE","ZW","-17.08","30.3","6110","-999","","","","","1971","1980","10","0","1971","1980","10","9.254","0.291834144","47.76336236"
"1491690","1","91","GWEBI","MANYAME DAM U/S G/W (63323083)","ZW","-17.616667","30.616667","578","-999","1974","1990","17","0","","","","","1974","1990","17","4.273","0.134753328","233.1372457"
"1491700","1","91","HUNYANI","MANGULA MINE WEIR","ZW","-16.95","30.35","7900","-999","","","","","1964","1984","21","0","1964","1984","21","23.238","0.732833568","92.76374278"
"1491710","1","91","NYATSIME","EDINBURGH G/W (63323023)","ZW","-18.066667","31.066667","512","-999","1956","1990","35","30.85843131","","","","","1956","1990","35","1.956","0.061684416","120.477375"
